Probe ID,Gene Symbol,GenBank Accession,Adjusted p-value,GSM1249165,GSM1249166,GSM1249167,GSM1249170,GSM1249171,GSM1249172
A_51_P373901,Rsph1,NM_025290,0.5844343,7.433,7.705,8.611,7.957,7.185,7.298
A_51_P420901,Srp54a,NM_011899,0.5844343,13.332,13.393,13.293,13.207,13.712,13.564
A_51_P451416,,,0.5844343,6.72,7.277,6.8,7.022,7.225,7.109
A_52_P191059,Zfp612,NM_175480,0.5846551,6.542,6.529,6.664,6.291,7.034,7.451
A_51_P205740,Ube3b,NM_054093,0.5847379,13.961,13.84,13.668,13.81,14.119,13.918
A_51_P178251,Iqce,NM_028833,0.5847596,6.552,6.614,6.942,6.604,7.103,6.99
A_52_P337126,Bves,NM_024285,0.5847596,8.658,9.04,9.552,9.666,7.611,7.845
A_52_P424767,Rbbp4,NM_009030,0.5847596,8.799,8.901,8.326,8.585,9.119,9.07
A_51_P104596,Ankfy1,NM_009671,0.5847857,10.572,10.347,10.437,10.284,10.288,10.494
A_52_P302463,Arl5a,NM_182994,0.5847857,10.597,10.375,10.745,10.316,11.252,11.085
A_51_P140607,Asun,NM_138757,0.5848495,11.511,11.938,11.512,11.791,11.246,11.205
A_51_P397390,Esyt2,NM_028731,0.5848495,7.575,7.928,7.306,7.591,7.022,7.442
A_51_P492482,Cstf2t,NM_031249,0.5848495,14.443,14.427,14.09,14.455,13.982,13.881
A_52_P35164,Trp53i13,NM_001024920,0.5848495,8.841,8.347,8.727,8.362,9.336,9.279
A_52_P507382,Unc93b1,NM_019449,0.5848495,10.423,10.241,10.692,10.467,10.246,10.155
A_52_P637988,Slc1a1,NM_009199,0.5848715,11.321,11.521,11.282,11.763,10.624,10.486
A_52_P346231,Azi2,NM_013727,0.5848749,11.229,11.432,11.075,10.856,11.139,11.26
A_51_P210510,Sparcl1,NM_010097,0.5851124,17.261,17.338,17.766,17.419,17.769,17.773
A_51_P453502,Smn1,NM_011420,0.5851124,8.01,7.601,7.713,8.04,7.764,7.968
A_51_P469252,Zfp647,NM_172817,0.5852973,9.317,9.502,9.252,9.125,9.912,9.824
A_52_P638319,,,0.5853139,7.917,8.187,7.889,7.468,7.864,8.059
A_51_P257151,Adipor2,AK046591,0.5855215,6.382,6.569,6.456,6.26,6.945,6.889
A_51_P337856,Ubl7,NM_027086,0.5855215,11.513,11.231,10.603,10.547,11.166,10.626
A_51_P438701,Atpaf2,NM_145427,0.5855215,11.041,11.072,10.605,10.849,11.203,11.273
A_52_P202788,C130036L24Rik,AK042329,0.5855215,6.968,6.735,7.027,6.799,7.22,7.213
A_51_P416858,Myl1,NM_021285,0.5855278,7.579,7.873,7.737,9.749,7.674,7.815
A_51_P393124,Gabra4,NM_010251,0.5855327,12.553,12.193,12.785,13.206,11.044,11.019
A_52_P413976,9430091E24Rik,NR_040363,0.5855327,7.213,6.728,7.033,7.066,7.181,7.171
A_52_P537050,Uchl3,NM_016723,0.5855327,12.334,11.9,12.743,12.687,12.455,12.602
A_52_P571746,Sh2d5,NM_001099631,0.5855327,10.651,9.865,10.748,9.434,9.845,10.626
A_51_P372112,Gpc6,NM_001079844,0.5856129,7.094,6.992,6.943,6.337,8.383,8.384
A_51_P172441,Eif5b,NM_198303,0.585814,13.187,13.636,13.412,13.178,13.305,13.333
A_51_P337230,Galnt14,NM_027864,0.585814,11.812,12.283,12.6,12.57,11.297,11.413
A_51_P351970,Hells,NM_008234,0.585814,6.784,6.92,6.82,6.702,7.084,7.234
A_52_P311597,Slc7a4,NM_144852,0.585814,11.337,10.658,11.244,11.362,10.361,10.278
A_52_P606774,Stk4,NM_021420,0.585814,10.208,9.71,9.873,9.987,9.51,9.68
A_52_P620399,Nr2f2,NM_009697,0.585814,10.604,11.628,12.203,12.457,11.93,11.641
A_51_P131800,Cyba,NM_007806,0.5858439,8.131,7.336,8.632,7.959,8.768,8.783
A_51_P204730,Cep19,NM_025892,0.5858439,14.406,14.629,14.915,14.414,14.523,14.549
A_51_P267544,Frg1,NM_013522,0.5858439,9.781,10.233,9.785,10.996,10.001,9.937
A_51_P322677,Dusp14,NM_019819,0.5858439,10.8,9.806,10.252,10.631,9.433,9.182
A_51_P318365,Igf1r,NM_010513,0.5860115,11.141,10.512,10.107,9.3,10.466,10.493
A_52_P467930,Prdx6-ps2,BC158068,0.5860456,10.531,10.005,10.119,10.343,10.343,10.47
A_52_P418644,Plp2,NM_019755,0.5860933,8.482,7.794,8.511,8.726,8.387,8.451
